Geneid	../bam/americana_AG_1.bam	../bam/americana_AG_2.bam	../bam/americana_AG_3.bam	../bam/americana_carcass_1.bam	../bam/americana_carcass_2.bam	../bam/americana_carcass_3.bam	../bam/americana_EB_1.bam	../bam/americana_EB_2.bam	../bam/americana_testes_1.bam	../bam/americana_testes_2.bam	../bam/americana_testes_3.bam	../bam/DameSB_fem.bam	../bam/DameSB_mal.bam
MSTRG.1	0	0	0	0	0	0	0	0	1	0	0	195	1
MSTRG.2	0	0	5	3	2	2	1	3	3	1	0	0	47
MSTRG.3	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.4	0	2	1	0	4	355	1	1	0	0	1	23	60
MSTRG.5	0	6	5	0	13	60	2	3	0	0	2	142	15
MSTRG.6	0	9	12	0	7	643	1	0	0	22	11	368	54
MSTRG.7	0	0	15	0	76	100	1	1	0	12	2	373	36
MSTRG.8	0	0	0	0	1	153	0	0	0	1	0	19	0
MSTRG.9	1	0	0	0	4	94	2	3	0	0	2	263	55
MSTRG.10	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.11	0	234	6	4	21	5997	5	84	1	5	9	307	256
MSTRG.12	2	90	16	6	125	8178	13	33	3	24	17	1412	498
MSTRG.13	2	0	0	6	0	191	0	0	2	0	0	335	185
MSTRG.14	0	0	0	0	2	1	0	0	0	0	0	0	1
MSTRG.15	0	0	0	0	0	1	0	1	0	0	0	182	13
MSTRG.16	0	9	5	0	16	68	3	5	0	6	7	24	22
MSTRG.17	114	1146	917	172	2598	19741	746	996	47	544	692	13397	8209
MSTRG.18	1	7	5	1	32	62	5	1	1	3	1	22	19
MSTRG.19	534	2333	1988	687	6496	30915	2291	2490	181	1092	1375	1777	1865
MSTRG.20	48	12	9	64	20	109	6	10	13	8	10	935	681
MSTRG.21	0	3	1	0	11	48	0	1	0	0	4	23	19
MSTRG.22	0	23	20	0	130	7357	18	11	1	17	11	256	270
MSTRG.23	0	13	11	0	127	253	28	12	0	9	15	695	84
MSTRG.24	0	0	0	0	0	0	0	0	0	0	0	0	210
MSTRG.25	0	3	3	0	16	1147	2	13	2	3	6	397	146
MSTRG.26	0	1	0	1	1	18	0	2	0	0	0	144	15
MSTRG.27	0	0	0	0	0	3	0	0	0	0	0	8	2
MSTRG.28	0	0	0	0	0	0	0	0	1	0	0	1	6
MSTRG.29	0	0	0	0	0	1	0	5	129	110	100	0	995
MSTRG.30	0	0	0	0	0	0	0	0	0	0	0	7	0
MSTRG.31	0	0	0	0	0	0	1	1	0	0	0	265	46
MSTRG.32	0	0	0	0	0	0	0	0	0	0	0	4	1
MSTRG.33	1	0	0	5	0	0	0	0	0	0	0	1166	206
MSTRG.34	0	0	0	0	0	0	0	0	1	0	0	0	9
MSTRG.35	0	0	0	0	0	1	0	1	12	7	1	0	63
MSTRG.36	0	0	0	3	0	0	0	0	1	0	0	549	79
MSTRG.37	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.38	1	0	0	0	3	11	3	0	0	1	1	65	32
MSTRG.39	0	0	0	1	0	3	0	0	0	0	0	14	17
MSTRG.40	1	0	3	0	1	98	0	185	1	1	0	691	119
MSTRG.41	0	0	0	0	0	1	0	0	0	0	0	36	75
MSTRG.42	0	0	0	0	0	100	0	0	0	0	0	33	9
MSTRG.43	0	1	1	2	0	8	0	12	0	0	0	42	12
MSTRG.44	0	1	2	1	3	9	1	1	0	1	2	243	16
MSTRG.45	8	165	130	13	608	2420	83	201	7	78	111	946	498
MSTRG.46	1	0	2	1	2	15	0	1	0	1	1	13	9
MSTRG.47	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.48	0	2	1	2	0	1	0	0	5	0	0	32	20
MSTRG.49	2	2	2	3	1	11	0	0	3	3	0	25	19
MSTRG.50	0	0	0	0	1	4	0	0	0	0	0	0	0
MSTRG.51	0	0	1	0	2	0	0	0	0	0	0	168	173
MSTRG.52	0	0	0	0	2	1	0	0	1	0	1	56	21
MSTRG.53	0	0	0	0	0	0	0	0	0	0	0	61	8
MSTRG.54	0	16	4	0	5	0	0	2	0	0	0	565	898
MSTRG.55	552	77	269	2940	1426	247	107	133	217	46	51	53542	4640
MSTRG.56	0	0	1	2	3	1	1	0	0	0	0	813	0
MSTRG.57	0	0	2	0	0	0	0	2	0	0	0	1403	1
MSTRG.58	0	0	0	0	0	0	0	0	0	0	0	14	0
MSTRG.59	0	0	0	0	0	0	0	0	0	0	0	0	123
MSTRG.60	0	0	0	0	0	0	0	0	0	0	0	0	18
MSTRG.61	0	0	0	0	0	0	0	0	0	0	0	0	20
MSTRG.62	0	0	0	0	0	0	0	0	1	0	0	3	744
MSTRG.63	0	0	0	0	0	0	0	0	0	0	0	0	7
MSTRG.64	0	0	0	0	0	0	0	0	0	0	0	0	1
MSTRG.65	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.66	0	0	0	2	0	0	0	0	14	0	0	165	369
MSTRG.67	0	0	0	0	0	0	0	0	2	0	0	0	27
MSTRG.68	0	0	0	0	2	0	1	0	0	5	5	0	42
MSTRG.69	0	0	0	2	0	1	0	0	2	0	0	38	14
MSTRG.70	0	0	0	1	0	0	0	0	0	0	0	7	2
MSTRG.71	0	0	0	0	0	1	0	0	0	0	0	32	1
MSTRG.72	1	1	1	9	0	13	0	0	0	0	0	15	0
MSTRG.73	0	2	4	485	481	404	6	1	9	12	9	773	1344
MSTRG.74	0	0	0	0	1	0	0	0	0	0	0	21	1
MSTRG.75	0	0	0	1	0	0	0	0	0	0	0	29	9
MSTRG.76	4	4	6	17	37	27	5	9	2	2	1	0	103
MSTRG.77	4	4	6	31	96	26	1	6	4	3	9	31	200
MSTRG.78	4	2	1	13	15	28	3	0	1	0	1	5	172
MSTRG.79	600	529	685	1878	2142	1133	243	519	146	189	234	5298	3624
MSTRG.80	111	143	162	260	1163	300	155	216	17	23	32	1	96
MSTRG.81	183	204	272	746	1650	599	213	456	50	44	71	5479	2639
MSTRG.82	11	8	15	66	45	28	10	21	1	0	2	0	86
MSTRG.83	23	26	41	109	330	91	31	64	4	3	7	22	125
MSTRG.84	9	13	7	155	308	234	59	134	6	3	2	118	363
MSTRG.85	975	907	999	2071	2144	1529	518	1066	1068	1273	1600	11788	10317
